,y,Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old)
0,2015.0,0.0,1.9541,10.8189,0.0,2.3085,5.8069
1,2016.0,0.0,1.9541,10.8189,0.0166,2.3085,5.8069
2,2017.0,0.0,1.9541,10.8189,0.0002,2.3085,5.8069
3,2018.0,0.0,1.9541,10.8189,0.0,2.3085,5.8069
4,2019.0,0.0,1.9541,10.8189,0.0,2.3085,5.8069
5,2020.0,0.0,1.9541,10.8189,0.0,2.3085,5.8069
6,2021.0,0.0,9.2821,27.9302,0.0152,2.1931000000000003,5.5165999999999995
7,2022.0,0.0,8.7936,26.5807,0.0152,2.0777,5.2262
8,2023.0,0.0,8.305,34.2555,0.0152,1.9622,4.9359
9,2024.0,0.0,7.8165,22.379,0.0152,1.8468,4.6455
10,2025.0,0.0,7.328,12.073,0.0152,1.7313,4.3552
11,2026.0,0.0,1.3679,7.5732,0.0,1.6159,4.0649
12,2027.0,0.0,1.2702,7.032299999999999,0.0,1.5006,3.7745
13,2028.0,0.0,1.1725,6.491300000000001,0.0,1.3851,3.4841
14,2029.0,0.0,1.0748,5.9504,0.0,1.2697,3.1938000000000004
15,2030.0,0.0,0.9771,5.4094,0.0,1.1543,2.9034999999999997
16,2031.0,0.0,0.8794,4.8685,0.0,1.0388000000000002,2.6130999999999998
17,2032.0,0.0,0.7817,4.327500000000001,0.0,0.9234,2.3228
18,2033.0,0.0,0.6839,3.7866,0.0,0.8079999999999999,2.0324
19,2034.0,0.0,0.5862,3.2456000000000005,0.0,0.6925,1.7421
20,2035.0,0.0,0.4885,2.7047,0.0,0.5771,1.4517
21,2036.0,0.0,0.3908,2.1638,0.0,0.4617,1.1614
22,2037.0,0.0,0.2931,1.6228000000000002,0.0,0.3463,0.8711
23,2038.0,0.0,0.1954,1.0817999999999999,0.0,0.2309,0.5807
24,2039.0,0.0,0.0977,0.5409999999999999,0.0,0.1154,0.2903
25,2047.0,685.1715,0.0,0.0,0.0,0.0,0.0
26,2048.0,3326.6349,0.0,0.0,0.0,0.0,0.0
27,2049.0,3381.4766000000004,0.0,0.0,0.0,0.0,0.0
28,2050.0,3381.4766000000004,0.0,0.0,0.0,0.0,0.0
29,2051.0,3381.4766000000004,0.0,0.0,0.0,0.0,0.0
30,2052.0,3381.4766000000004,0.0,0.0,0.0,0.0,0.0
31,2053.0,3381.4766000000004,0.0,0.0,0.0,0.0,0.0
32,2054.0,3381.4766000000004,0.0,0.0,0.0,0.0,0.0
33,2055.0,3309.3784,0.0,0.0,0.0,0.0,0.0
34,2056.0,3330.344,0.0,0.0,0.0,0.0,0.0
35,2057.0,3363.4489000000003,0.0,0.0,0.0,0.0,0.0
36,2058.0,3288.206,0.0,0.0,0.0,0.0,0.0
37,2059.0,3109.4885,0.0,0.0,0.0,0.0,0.0
38,2060.0,3064.2073,0.0,0.0,0.0,0.0,0.0
39,2061.0,3035.7691,0.0,0.0,0.0,0.0,0.0
40,2062.0,3066.2784,0.0,0.0,0.0,0.0,0.0
41,2063.0,3104.1775000000002,0.0,0.0,0.0,0.0,0.0
42,2064.0,3115.2057,0.0,0.0,0.0,0.0,0.0
43,2065.0,3028.8262,0.0,0.0,0.0,0.0,0.0
44,2066.0,2865.0806000000002,0.0,0.0,0.0,0.0,0.0
45,2067.0,2748.2747,0.0,0.0,0.0,0.0,0.0
46,2068.0,2718.8238,0.0,0.0,0.0,0.0,0.0
47,2069.0,2679.9194,0.0,0.0,0.0,0.0,0.0
48,2070.0,2694.5897999999997,0.0,0.0,0.0,0.0,0.0
